Serial_No,Name,Set,Specialism,Batting_Style,Bowling_Style,Test_Caps,ODI_Caps,T20_Caps,IPL_Matches,Player_Status,Reserve_Price_Lakh
322,Daksh Kamra,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Uncapped,30
323,Vishal Mandwal,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Uncapped,30
324,Arfaz Mohammad,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
325,Hemang Patel,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
326,Mridul Surroch,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
327,Anuj Thakral,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
328,Parth Vats,UAL8,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
329,Lalit Yadav,UAL8,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
330,Nitin Sai Yadav,UAL8,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
331,Krish Bhagat,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Uncapped,30
332,Prerit Dutta,UAL9,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
333,Sammar Gajjar,UAL9,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
334,Nasir Lone,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
335,Ishan Mulchandani,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
336,Akhil Scaria,UAL9,ALL-ROUNDER,LHB,RIGHT ARM Medium,0,0,0,0,Uncapped,30
337,Muhammed Sharafuddeen,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
338,K.Ajay Singh,UAL9,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
339,Ritik Tada,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
340,Luckyrajsinh Vaghela,UAL9,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
341,Mohamed Ali,UAL10,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
342,Madhav Bajaj,UAL10,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
343,Akshu Bajwa,UAL10,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
344,Varun Raj Singh Bisht,UAL10,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
345,Rishabh Chauhan,UAL10,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
346,Jack Edwards,UAL10,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,50
347,Dian Forrester,UAL10,ALL-ROUNDER,LHB,RIGHT ARM Medium,0,0,0,0,Uncapped,30
348,Dhurmil Matkar,UAL10,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Uncapped,30
349,Shiva Singh,UAL10,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,0,0,0,0,Uncapped,30
350,Parikshit Valsangkar,UAL10,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Uncapped,30
351,Mani Sankar Mura Singh,UAL10,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
352,Virandeep Singh,UAL10,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Associate,30
353,Chama Milind,UAL10,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,0,0,0,Uncapped,30
354,K.L. Shrijith,UWK3,WICKETKEEPER,LHB,,0,0,0,0,Uncapped,30
355,Eathan Bosch,AL4,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,1,0,0,Capped,75
356,Chris Green,AL4,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,1,0,Capped,75
357,Swastik Chikara,UBA4,BATTER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
358,Rahul Raj Namala,UBA4,BATTER,RHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
359,Virat Singh,UBA4,BATTER,LHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
360,Abhimanyu Easwaran,UBA4,BATTER,RHB,,0,0,0,0,Uncapped,30
361,Tripuresh Singh,UAL10,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
362,Kyle Verreynne,WK2,WICKETKEEPER,RHB,RIGHT ARM Off Spin,31,19,0,0,Uncapped,125
363,Blessing Muzarabani,FA5,BOWLER,RHB,RIGHT ARM Fast,18,57,83,0,Capped,75
364,Ben Sears,FA5,BOWLER,RHB,RIGHT ARM Fast,1,4,22,0,Capped,150
365,Rajesh Mohanty,UFA6,BOWLER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Uncapped,30
366,Swastik Samal,UBA4,BATTER,RHB,RIGHT ARM Medium,0,0,0,0,Uncapped,30
367,Saransh Jain,UAL10,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
368,Sooraj Sangaraju,UBA4,BATTER,RHB,,0,0,0,0,Uncapped,30
369,Tanmay Agarwal,UBA4,BATTER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Uncapped,30
